Site ID,Energy Consumption (kWh),Date
,,2019-11-13
,,2019-11-14
,,2019-11-15
,,2019-11-16
,,2019-11-17
,,2019-11-18
,,2019-11-19
,,2019-11-20
,,2019-11-21
,,2019-11-22
,,2019-11-23
,,2019-11-24
,,2019-11-25
,,2019-11-26
,,2019-11-27
,,2019-11-28
,,2019-11-29
,,2019-11-30
,,2019-12-01
,,2019-12-02
,,2019-12-03
,,2019-12-04
,,2019-12-05
,,2019-12-06
,,2019-12-07
,,2019-12-08
,,2019-12-09
,,2019-12-10
,,2019-12-11
,,2019-12-12
,,2019-12-13
,,2019-12-14
,,2019-12-15
,,2019-12-16
,,2019-12-17
,,2019-12-18
,,2019-12-19
,,2019-12-20
,,2019-12-21
,,2019-12-22
,,2019-12-23
,,2019-12-24
,,2019-12-25
,,2019-12-26
,,2019-12-27
,,2019-12-28
,,2019-12-29
,,2019-12-30
,,2019-12-31
,,2020-01-01
,,2020-01-02
,,2020-01-03
,,2020-01-04
,,2020-01-05
,,2020-01-06
,,2020-01-07
CCC2009,383.05,2020-01-08
CCC2009,370.27,2020-01-09
CCC2009,346.87,2020-01-10
CCC2009,134.88,2020-01-11
CCC2009,42.54,2020-01-12
CCC2009,354.75,2020-01-13
CCC2009,408.46,2020-01-14
CCC2009,474.18,2020-01-15
CCC2009,391.18,2020-01-16
CCC2009,363.03,2020-01-17
CCC2009,226.61,2020-01-18
CCC2009,39.23,2020-01-19
CCC2009,357.36,2020-01-20
CCC2009,374.2,2020-01-21
CCC2009,427.3,2020-01-22
CCC2009,396.84,2020-01-23
CCC2009,342.95,2020-01-24
CCC2009,44.12,2020-01-25
CCC2009,35.7,2020-01-26
CCC2009,345.72,2020-01-27
CCC2009,345.91,2020-01-28
CCC2009,400.69,2020-01-29
CCC2009,380.69,2020-01-30
CCC2009,386.25,2020-01-31
CCC2009,117.89,2020-02-01
CCC2009,34.2,2020-02-02
CCC2009,338.59,2020-02-03
CCC2009,379.32,2020-02-04
CCC2009,346.9,2020-02-05
CCC2009,396.18,2020-02-06
CCC2009,323.83,2020-02-07
CCC2009,210.41,2020-02-08
CCC2009,35.36,2020-02-09
CCC2009,357.56,2020-02-10
CCC2009,348.11,2020-02-11
CCC2009,440.6,2020-02-12
CCC2009,424.93,2020-02-13
CCC2009,382.46,2020-02-14
CCC2009,45.38,2020-02-15
CCC2009,43.3,2020-02-16
CCC2009,401.77,2020-02-17
CCC2009,391.11,2020-02-18
CCC2009,426.82,2020-02-19
CCC2009,360.53,2020-02-20
CCC2009,328.75,2020-02-21
CCC2009,162.22,2020-02-22
CCC2009,35.68,2020-02-23
CCC2009,363.34,2020-02-24
CCC2009,368.56,2020-02-25
CCC2009,436.16,2020-02-26
CCC2009,363.42,2020-02-27
CCC2009,380.52,2020-02-28
CCC2009,161.67,2020-02-29
CCC2009,36.33,2020-03-01
CCC2009,386.6,2020-03-02
CCC2009,387.41,2020-03-03
CCC2009,392.94,2020-03-04
CCC2009,400.11,2020-03-05
CCC2009,361.27,2020-03-06
CCC2009,36.38,2020-03-07
CCC2009,44.73,2020-03-08
CCC2009,364.08,2020-03-09
CCC2009,334.8,2020-03-10
CCC2009,406.79,2020-03-11
CCC2009,391.46,2020-03-12
CCC2009,387.41,2020-03-13
CCC2009,50.82,2020-03-14
CCC2009,66.58,2020-03-15
CCC2009,410.07,2020-03-16
CCC2009,395.94,2020-03-17
CCC2009,424.99,2020-03-18
CCC2009,437.92,2020-03-19
CCC2009,370.26,2020-03-20
CCC2009,120.1,2020-03-21
CCC2009,87.08,2020-03-22
CCC2009,400.05,2020-03-23
CCC2009,376.54,2020-03-24
CCC2009,443.34,2020-03-25
CCC2009,446.75,2020-03-26
CCC2009,389.13,2020-03-27
CCC2009,246.13,2020-03-28
CCC2009,68.44,2020-03-29
CCC2009,367.62,2020-03-30
CCC2009,402.91,2020-03-31
CCC2009,410.2,2020-04-01
CCC2009,348.86,2020-04-02
CCC2009,340.81,2020-04-03
CCC2009,152.5,2020-04-04
CCC2009,41.79,2020-04-05
CCC2009,382.69,2020-04-06
CCC2009,376.01,2020-04-07
CCC2009,406.87,2020-04-08
CCC2009,393.59,2020-04-09
CCC2009,311.13,2020-04-10
CCC2009,54.29,2020-04-11
CCC2009,77.16,2020-04-12
CCC2009,405.91,2020-04-13
CCC2009,402.91,2020-04-14
CCC2009,436.38,2020-04-15
CCC2009,392.44,2020-04-16
CCC2009,327.25,2020-04-17
CCC2009,66.08,2020-04-18
CCC2009,94.85,2020-04-19
CCC2009,383.94,2020-04-20
CCC2009,358.65,2020-04-21
CCC2009,346.13,2020-04-22
CCC2009,378.43,2020-04-23
CCC2009,371.45,2020-04-24
CCC2009,67.74,2020-04-25
CCC2009,90.45,2020-04-26
CCC2009,387.3,2020-04-27
CCC2009,349.76,2020-04-28
CCC2009,397.87,2020-04-29
CCC2009,363.3,2020-04-30
CCC2009,356.42,2020-05-01
CCC2009,49.89,2020-05-02
CCC2009,51.3,2020-05-03
CCC2009,335.91,2020-05-04
CCC2009,366.64,2020-05-05
CCC2009,428.23,2020-05-06
CCC2009,398.29,2020-05-07
CCC2009,336.42,2020-05-08
CCC2009,61.1,2020-05-09
CCC2009,41.47,2020-05-10
CCC2009,431.32,2020-05-11
CCC2009,334.31,2020-05-12
CCC2009,352.28,2020-05-13
CCC2009,381.27,2020-05-14
CCC2009,338.95,2020-05-15
CCC2009,155.93,2020-05-16
CCC2009,65.31,2020-05-17
CCC2009,358.84,2020-05-18
CCC2009,359.88,2020-05-19
CCC2009,363.13,2020-05-20
CCC2009,416.94,2020-05-21
CCC2009,367.88,2020-05-22
CCC2009,62.84,2020-05-23
CCC2009,56.21,2020-05-24
CCC2009,75.84,2020-05-25
CCC2009,390.65,2020-05-26
CCC2009,416.73,2020-05-27
CCC2009,403.97,2020-05-28
CCC2009,362.71,2020-05-29
CCC2009,185.74,2020-05-30
CCC2009,75.31,2020-05-31
CCC2009,394.36,2020-06-01
CCC2009,393.87,2020-06-02
CCC2009,376.72,2020-06-03
CCC2009,425.77,2020-06-04
CCC2009,381.56,2020-06-05
CCC2009,176.58,2020-06-06
CCC2009,63.71,2020-06-07
CCC2009,381.22,2020-06-08
CCC2009,346.45,2020-06-09
CCC2009,354.46,2020-06-10
CCC2009,417.85,2020-06-11
CCC2009,359.61,2020-06-12
CCC2009,198.14,2020-06-13
CCC2009,63.38,2020-06-14
CCC2009,378.03,2020-06-15
CCC2009,423.84,2020-06-16
CCC2009,404.67,2020-06-17
